tradingDay,dayOffset,events_CaucasusCA,events_Europe,events_MiddleEast,events_NorthAfrica,Return_EEM,Return_GLD,Return_ITA,Return_USO,Return_VIX
2022-08-17,2.0,14,223,135,6,-0.013597078082207004,-0.007320625681104476,-0.013489859406092486,-0.002021311517712898,0.05316978240915504
2022-08-17,3.0,14,223,135,6,-0.008772045025481567,-0.006637179344595956,-0.021728958799896336,0.008371627964090855,0.1553397473948257
2022-08-18,-1.0,10,290,146,14,-0.004161443312341584,-0.006468335614034371,-0.006165628047321792,0.011370090009508838,0.010665265554941294
2022-08-18,0.0,10,290,146,14,-0.005653770183129958,-0.0026164156896926194,0.002129688667342533,0.029979124791475575,-0.017085435130928195
2022-08-18,1.0,10,290,146,14,-0.013597078082207004,-0.007320625681104476,-0.013489859406092486,-0.002021311517712898,0.05316978240915504
2022-08-18,2.0,10,290,146,14,-0.008772045025481567,-0.006637179344595956,-0.021728958799896336,0.008371627964090855,0.1553397473948257
2022-08-18,3.0,10,290,146,14,0.005309720068208623,0.0069908740848763085,0.0022020716198585255,0.028789522189248018,0.013025268202878193
2022-08-19,-1.0,14,202,121,5,-0.005653770183129958,-0.0026164156896926194,0.002129688667342533,0.029979124791475575,-0.017085435130928195
2022-08-19,0.0,14,202,121,5,-0.013597078082207004,-0.007320625681104476,-0.013489859406092486,-0.002021311517712898,0.05316978240915504
2022-08-19,1.0,14,202,121,5,-0.008772045025481567,-0.006637179344595956,-0.021728958799896336,0.008371627964090855,0.1553397473948257
2022-08-19,2.0,14,202,121,5,0.005309720068208623,0.0069908740848763085,0.0022020716198585255,0.028789522189248018,0.013025268202878193
2022-08-19,3.0,14,202,121,5,-0.0002514581674299965,0.0029489200401788818,0.009075259754138365,0.01574904406657951,-0.05350480642350053
2022-08-22,-1.0,44,608,337,31,-0.013597078082207004,-0.007320625681104476,-0.013489859406092486,-0.002021311517712898,0.05316978240915504
2022-08-22,0.0,44,608,337,31,-0.008772045025481567,-0.006637179344595956,-0.021728958799896336,0.008371627964090855,0.1553397473948257
2022-08-22,1.0,44,608,337,31,0.005309720068208623,0.0069908740848763085,0.0022020716198585255,0.028789522189248018,0.013025268202878193
2022-08-22,2.0,44,608,337,31,-0.0002514581674299965,0.0029489200401788818,0.009075259754138365,0.01574904406657951,-0.05350480642350053
2022-08-22,3.0,44,608,337,31,0.02163527095869422,0.003062787136294043,0.021111388411573673,-0.019733481515387008,-0.04557401499065716
2022-08-23,-1.0,19,195,130,14,-0.008772045025481567,-0.006637179344595956,-0.021728958799896336,0.008371627964090855,0.1553397473948257
2022-08-23,0.0,19,195,130,14,0.005309720068208623,0.0069908740848763085,0.0022020716198585255,0.028789522189248018,0.013025268202878193
2022-08-23,1.0,19,195,130,14,-0.0002514581674299965,0.0029489200401788818,0.009075259754138365,0.01574904406657951,-0.05350480642350053
2022-08-23,2.0,19,195,130,14,0.02163527095869422,0.003062787136294043,0.021111388411573673,-0.019733481515387008,-0.04557401499065716
2022-08-23,3.0,19,195,130,14,-0.014774688808587788,-0.012152705301765265,-0.02744283394640623,-0.008496751972273286,0.17355365748976292
2022-08-24,-1.0,19,293,125,7,0.005309720068208623,0.0069908740848763085,0.0022020716198585255,0.028789522189248018,0.013025268202878193
2022-08-24,0.0,19,293,125,7,-0.0002514581674299965,0.0029489200401788818,0.009075259754138365,0.01574904406657951,-0.05350480642350053
2022-08-24,1.0,19,293,125,7,0.02163527095869422,0.003062787136294043,0.021111388411573673,-0.019733481515387008,-0.04557401499065716
2022-08-24,2.0,19,293,125,7,-0.014774688808587788,-0.012152705301765265,-0.02744283394640623,-0.008496751972273286,0.17355365748976292
2022-08-24,3.0,19,293,125,7,-0.006248535123047572,0.0006182375550920494,-0.00657772417627378,0.037442373426732845,0.02543034554427015
2022-08-25,-1.0,17,224,118,5,-0.0002514581674299965,0.0029489200401788818,0.009075259754138365,0.01574904406657951,-0.05350480642350053
2022-08-25,0.0,17,224,118,5,0.02163527095869422,0.003062787136294043,0.021111388411573673,-0.019733481515387008,-0.04557401499065716
2022-08-25,1.0,17,224,118,5,-0.014774688808587788,-0.012152705301765265,-0.02744283394640623,-0.008496751972273286,0.17355365748976292
2022-08-25,2.0,17,224,118,5,-0.006248535123047572,0.0006182375550920494,-0.00657772417627378,0.037442373426732845,0.02543034554427015
2022-08-25,3.0,17,224,118,5,-0.011820853399466702,-0.008340578885610683,-0.01391416834986281,-0.04092008032533467,0.0
2022-08-26,-1.0,11,209,119,6,0.02163527095869422,0.003062787136294043,0.021111388411573673,-0.019733481515387008,-0.04557401499065716
2022-08-26,0.0,11,209,119,6,-0.014774688808587788,-0.012152705301765265,-0.02744283394640623,-0.008496751972273286,0.17355365748976292
2022-08-26,1.0,11,209,119,6,-0.006248535123047572,0.0006182375550920494,-0.00657772417627378,0.037442373426732845,0.02543034554427015
2022-08-26,2.0,11,209,119,6,-0.011820853399466702,-0.008340578885610683,-0.01391416834986281,-0.04092008032533467,0.0
2022-08-26,3.0,11,209,119,6,0.003563059918942013,-0.007725314789180926,-0.010218051901922154,-0.03127071117237723,-0.01297208153817453
2022-08-29,-1.0,49,596,427,21,-0.014774688808587788,-0.012152705301765265,-0.02744283394640623,-0.008496751972273286,0.17355365748976292
2022-08-29,0.0,49,596,427,21,-0.006248535123047572,0.0006182375550920494,-0.00657772417627378,0.037442373426732845,0.02543034554427015
2022-08-29,1.0,49,596,427,21,-0.011820853399466702,-0.008340578885610683,-0.01391416834986281,-0.04092008032533467,0.0
2022-08-29,2.0,49,596,427,21,0.003563059918942013,-0.007725314789180926,-0.010218051901922154,-0.03127071117237723,-0.01297208153817453
2022-08-29,3.0,49,596,427,21,-0.007861932602923893,-0.008790162100319021,-0.011404939691257887,-0.02954457179697445,-0.011983044578061208
